"","codigo","habitaciones","banios","superficie_total","superficie_construida","estacionamiento","precio","precioPESO","precioUF","fechaPublicacion","categoria","subcategoria","region","Region1","valorUFm2"
"148","6118038","5",NA,5000,63,"8","UF 22.366,00","691935823.7","22366.00","2021-12-02","Venta Nueva","Casa","v-region-de-valparaiso","V Region",4.4732
"149","5707142","6",NA,409,205,"3","UF 11.000,00","340306450","11000.00","2021-12-01","Venta Usada","Casa","v-region-de-valparaiso","V Region",26.8948655256724
"150","5647374","4",NA,425,250,"4","$ 270.000.000"," 270000000","8727.42788154618","2021-12-01","Venta Usada","Casa","v-region-de-valparaiso","V Region",20.5351244271675
"151","5573553","10",NA,250,NA,NA,"$ 210.000.000"," 210000000","6787.9994634248","2021-12-01","Venta Usada","Casa","v-region-de-valparaiso","V Region",27.1519978536992
"152","5592511","4",NA,354,230,"2","$ 305.000.000"," 305000000","9858.76112545031","2021-11-30","Venta Usada","Casa","v-region-de-valparaiso","V Region",27.8496076990122
"153","5316544","5",NA,750,396,"4","UF 21.000,00","649675950","21000.00","2021-11-29","Venta Usada","Casa","v-region-de-valparaiso","V Region",28
"154","5659612","9",NA,400,180,"4","UF 7.635,00","236203613.25","7635.00","2021-11-29","Venta Usada","Casa","v-region-de-valparaiso","V Region",19.0875
"155","6103145","3",NA,136,NA,"1","$ 140.000.000"," 140000000","4525.33297561654","2021-11-29","Venta Usada","Casa","v-region-de-valparaiso","V Region",33.274507173651
"156","5884381","3",NA,300,92,"3","$ 88.000.000"," 88000000","2844.49501324468","2021-11-25","Venta Usada","Casa","v-region-de-valparaiso","V Region",9.48165004414893
"157","5909024","6",NA,400,260,"3","UF 11.000,00","340306450","11000.00","2021-11-25","Venta Usada","Casa","v-region-de-valparaiso","V Region",27.5
"158","5718365","4",NA,350,125,"2","$ 170.000.000"," 170000000","5495.04718467722","2021-11-24","Venta Usada","Casa","v-region-de-valparaiso","V Region",15.7001348133635
"159","2906304","3",NA,5000,90,"8","$ 170.000.000"," 170000000","5495.04718467722","2021-11-23","Venta Usada","Casa","v-region-de-valparaiso","V Region",1.09900943693544
